,cultivar,Z1,Z2
567,C346,2.511746,0.18998894
568,C346,2.483477,-0.43211922
569,C346,2.1172838,0.24083582
570,C346,2.560403,0.12325653
571,C346,1.6985978,-0.18636802
572,C346,1.7791318,0.83112794
573,C346,1.5405884,0.15371524
574,C346,2.408518,-0.16376872
575,C346,0.71542287,0.83442235
576,C346,0.46946067,0.83407706
577,C346,1.063206,0.98046803
578,C346,1.4913509,0.49550703
579,C346,1.0491501,0.67679834
580,C346,1.8331813,0.12800528
581,C346,1.2467189,0.12634262
582,C346,1.7763176,0.054335132
583,C346,0.45997882,0.8039848
584,C346,1.6827475,0.6262646
585,C346,0.7851341,0.8190032
586,C346,0.65826976,0.9981572
587,C346,2.097864,0.18744649
588,C346,1.7658458,0.010984441
589,C346,0.6449293,0.8949777
590,C346,1.1738093,0.8485039
591,C346,4.311814,-0.8663929
592,C346,1.4065142,0.016188452
593,C346,2.5712223,0.029317116
594,C346,0.7062814,0.9703777
595,C346,1.2320247,0.57437813
596,C346,1.4839944,0.5660268
597,C346,2.0029516,0.50576824
598,C346,1.9617465,0.37077695
599,C346,1.0045245,0.910152
600,C346,1.6046902,0.051705923
601,C346,1.8518841,0.34369528
602,C346,1.9659406,0.88980544
603,C346,1.9326613,0.5158726
604,C346,2.3246458,0.58800125
605,C346,2.1012223,-0.7678566
606,C346,1.7449718,0.43471286
607,C346,1.8238119,0.71279764
608,C346,1.9966437,0.41436905
609,C346,2.4337718,0.87964296
610,C346,1.8992912,0.14183311
611,C346,2.4079201,0.52537405
612,C346,2.8148556,0.400356
613,C346,2.140996,0.113411844
614,C346,3.0389168,0.1418497
615,C346,1.3739867,0.56859064
616,C346,1.3754056,0.6095689
617,C346,2.3060188,-0.59270394
618,C346,0.82203674,0.8011404
619,C346,1.1453257,0.73636776
620,C346,1.2141315,0.6252644
621,C346,0.6830852,0.8946672
622,C346,1.6297606,-0.004891837
623,C346,0.987478,0.8599255
624,C346,1.3101815,0.8942928
625,C346,1.1329354,0.6884483
626,C346,1.9118764,0.4596499
627,C346,1.1286933,0.87913465
628,C346,1.3480982,0.81684625
629,C346,0.61241794,1.1128094
630,C346,1.3802574,0.7569926
631,C346,2.0316377,0.03586296
632,C346,0.6008764,0.90927434
633,C346,0.9730623,0.5405556
634,C346,1.5037,0.13302395
635,C346,0.66782975,0.7324569
636,C346,1.6228821,0.2395136
637,C346,1.5542125,0.2651842
638,C346,1.7057525,0.51619184
639,C346,1.560872,0.37181246
640,C346,1.7192094,0.058211878
641,C346,2.2135956,0.48814133
642,C346,1.5017829,0.41929236
643,C346,1.6644636,0.5095023
644,C346,1.7118379,1.0761464
645,C346,2.8385975,0.13047928
646,C346,0.8699299,0.6477262
647,C346,2.3279157,0.838959
648,C346,1.5424471,0.3304982
649,C346,1.8457967,-0.24369447
650,C346,2.3460965,0.08634971
651,C346,0.60110414,0.85179085
652,C346,0.78741,0.9004199
653,C346,1.4394134,0.21018018
654,C346,2.025162,0.65650815
655,C346,0.69884944,0.882937
656,C346,1.8331527,0.53893423
657,C346,0.7592009,0.7454771
658,C346,1.0828711,0.651639
659,C346,1.1069031,0.724225
660,C346,0.7748196,1.1617132
661,C346,1.5697294,-0.12729686
662,C346,0.631646,0.7487625
